index,company,url,market_category,primary_audience,offer_type,hero_h1_live,main_cta_live,main_cta_href,cta_confidence,proof_signals_detected,page_length_category,screenshot_width,screenshot_height,label_node_id,screenshot_node_id,screenshot_node_name,x_position,live_fetch_status,final_url_checked,analysis_notes,ai_in_prominent_messaging,ai_prominent_evidence,tracking_scripts_detected,tracking_vendors_detected,active_content_motion_detected,content_motion_evidence,free_or_downloadable_resource_detected,downloadable_resource_evidence,privacy_or_terms_detected,privacy_terms_evidence,question_analysis_fetch_status,question_analysis_final_url
11,Amazon One Medical,https://www.onemedical.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,Comprehensive healthcare just got less painful,Get Started Opens in a new window.,https://app.onemedical.com/registration/signup?service_area_id=all,high,HIPAA; quantified outcomes/stats,medium,600,2557,13:96,13:91,image 12,6804,ok,https://www.onemedical.com/,,no,,yes,Google Tag Manager,yes,Learn more Clicking here takes you to the Security Event Notice page. -> https://www.onemedical.com/security-event-notice | Learn more Opens in a new window. -> https://www.onemedical.com/security-event-notice | Resource Center -> https://www.onemedical.com/resource-center/ | Blog -> https://www.onemedical.com/blog/ | https://www.onemedical.com/blog/healthy-living/every-minute-matters-case-longer- -> https://www.onemedical.com/blog/healthy-living/every-minute-matters-case-longer-appointments/,no,,yes,Learn more Clicking here takes you to the Security Event Notice page. -> https://www.onemedical.com/security-event-notice | Learn more Opens in a new window. -> https://www.onemedical.com/security-event-notice | One Medical Terms of Use -> https://www.onemedical.com/terms-of-use/ | Medical Terms of Service -> https://www.onemedical.com/medical-terms-service/ | Privacy Notice -> https://www.onemedical.com/amazon-privacy-page/,ok,https://www.onemedical.com/
12,Curative,https://curative.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,Curative health plan,Find Care,https://curative.com/get-care,medium,HIPAA; quantified outcomes/stats,long,600,3317,15:107,15:102,image 13,7525,ok,https://curative.com/,,no,,yes,Google Tag Manager; HubSpot,yes,Read 2025 press release -> https://www.businesswire.com/news/home/20250303570084/en/Curative-Health-Insurance-Company%E2%80%99s-Financial-Strength- | Employer resources -> https://curative.com/for-employers | Broker resources -> https://curative.com/for-brokers | Employee resources -> https://curative.com/for-employees | Rights and Resources -> https://curative.com/rights-and-resources,yes,Download the Curative App -> https://curative.com/app,yes,Terms & Conditions -> https://curative.com/legal/terms | Privacy Policy -> https://curative.com/legal/privacy | https://curative.com/legal/hipaa -> https://curative.com/legal/hipaa | Privacy Policy. -> https://curative.com/legal/privacy,ok,https://curative.com/
13,UnMind,https://unmind.com/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,The complete workplace | mental health ecosystem,Talk to a human,https://unmind.com/book-a-call,high,quantified outcomes/stats; customer proof; case studies,medium,600,2438,15:116,15:109,image 14,8252,ok,https://unmind.com/?locale=en_us,,no,,yes,Google Analytics / gtag; Google Tag Manager; HubSpot,yes,"Insights and AssessmentsClear, anonymised insights that help you understand well -> https://unmind.com/insights-and-assessments | Rapid Response Critical Incident CoverageExpert-led care to support people throu -> https://unmind.com/rapid-response-critical-incident-coverage | /blog/mlb-unmind-partnership-announcement -> https://unmind.com/blog/mlb-unmind-partnership-announcement | https://www.diageo.com/en/news-and-media/press-releases/2022/diageo-launches-unm -> https://www.diageo.com/en/news-and-media/press-releases/2022/diageo-launches-unmind-mental-health-app-to-all-employees-w | Blog -> https://unmind.com/blog",no,,yes,Cookie Policy -> https://unmind.com/cookie-policy | Privacy Policy -> https://unmind.com/privacy-policy,ok,https://unmind.com/?locale=en_us
14,Kin Fertility,https://kinfertility.com.au/,Fertility / family health,Employers / members / patients,Family health benefit / care platform,,Contact us,https://kinfertility.com.au/contact,high,quantified outcomes/stats,medium,600,2361,15:125,15:118,image 15,8973,ok,https://kinfertility.com.au/,,no,,yes,Google Analytics / gtag; Meta / Facebook Pixel; Segment; Crazy Egg,yes,Fertility -> https://kinfertility.com.au/blog-category/fertility | Breastfeeding -> https://kinfertility.com.au/blog-category/breastfeeding | Conceiving -> https://kinfertility.com.au/blog-category/conceiving | Contraception -> https://kinfertility.com.au/blog-category/contraception | Women’s Health -> https://kinfertility.com.au/blog-category/womens-health,yes,Conception checklist -> https://kinfertility.com.au/getting-pregnant | Pregnancy checklist -> https://kinfertility.com.au/pregnancy-checklist,yes,Privacy Policy -> https://www.eucalyptus.health/privacy-policy | Terms & Conditions -> https://kinfertility.com.au/terms-and-conditions,ok,https://kinfertility.com.au/
15,Juniper,https://www.myjuniper.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,,Discover your options,,manual web,,long,600,3787,15:134,15:132,image 16,9700,ok via web fallback,https://www.myjuniper.com/,Homepage blocked standard fetch; CTA verified via browser-accessible page text.,unknown,,unknown,,unknown,,unknown,,unknown,,HTTPError: HTTP Error 403: Forbidden,https://www.myjuniper.com/
16,SIOM,https://statenislandoralsurgery.us/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,Staten Island Oral & Maxillofacial Surgery,Contact Us,https://statenislandoralsurgery.us/callback-request/,high,quantified outcomes/stats,long,498,4096,15:141,15:136,image 17,10427,ok,https://statenislandoralsurgery.us/,,no,,yes,Google Analytics / gtag; Google Tag Manager,no,,yes,Referring Doctors -> https://pdf.dsnforms.com/dsn/online_referral_form.html?p=x1u1x6,yes,Privacy Policy -> https://statenislandoralsurgery.us/privacy-policy/,ok,https://statenislandoralsurgery.us/
17,BEN,https://www.thanksben.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,The AI-native benefits platform for global enterprise | Running benefits shouldn't be this hard.,Book a demo,https://www.thanksben.com/book-a-demo,high,quantified outcomes/stats; customer proof,medium,600,2595,15:148,15:143,image 18,11052,ok,https://www.thanksben.com/,,yes,AI,yes,Google Tag Manager; HubSpot,yes,"Benefits insightsReal-time spend, usage and compliance dashboards your CFO can r -> https://www.thanksben.com/benefits-insights | WebinarsDiscover our latest webinars -> https://www.thanksben.com/webinars | BlogAwesome articles, e-books and more for People people -> https://www.thanksben.com/blog | GuidesGuides about making workplace better -> https://www.thanksben.com/resources/guides | Country guidesExplore how employee benefits work in different places -> https://www.thanksben.com/country-guides",no,,yes,"Benefits insightsReal-time spend, usage and compliance dashboards your CFO can r -> https://www.thanksben.com/benefits-insights | Legal -> https://www.thanksben.com/legal | Cookie policy -> https://www.thanksben.com/legal | Ben’s Terms of Service ↗ -> https://www.thanksben.com/legal/terms | privacy policy ↗ -> https://www.thanksben.com/app-privacy",ok,https://www.thanksben.com/
18,Mayo Clinic,https://www.mayoclinic.org/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,,Request appointment,,manual web,,medium,600,2126,21:8,21:6,image 19,11779,ok via web fallback,https://www.mayoclinic.org/,Homepage blocked standard fetch; CTA verified via browser-accessible page text.,unknown,,unknown,,unknown,,unknown,,unknown,,HTTPError: HTTP Error 403: Forbidden,https://www.mayoclinic.org/
19,Parsley Health,https://www.parsleyhealth.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,Functional medicine that helps you feel like your best self,Get started,https://www.parsleyhealth.com/join/care,high,quantified outcomes/stats,very long,600,5498,24:18,24:13,image 20,12506,ok,https://www.parsleyhealth.com/,,no,,no,,yes,/blog/is-functional-medicine-legit -> https://www.parsleyhealth.com/blog/is-functional-medicine-legit | Is Functional Medicine Legit? Your Ultimate Guide To How It Works -> https://www.parsleyhealth.com/blog/is-functional-medicine-legit | Read More -> https://www.parsleyhealth.com/blog/is-functional-medicine-legit | /blog/parsley-health-primary-care-provider-difference -> https://www.parsleyhealth.com/blog/parsley-health-primary-care-provider-difference | What’s the Difference Between a Primary Care Provider (PCP) and Parsley Health? -> https://www.parsleyhealth.com/blog/parsley-health-primary-care-provider-difference,yes,Is Functional Medicine Legit? Your Ultimate Guide To How It Works -> https://www.parsleyhealth.com/blog/is-functional-medicine-legit,yes,Terms & Conditions -> https://www.parsleyhealth.com/membership-terms | Terms of Use -> https://www.parsleyhealth.com/terms-of-use | Privacy Policy -> https://www.parsleyhealth.com/privacy-policy | Notice of Privacy Practices -> https://www.parsleyhealth.com/notice-of-privacy-practices,ok,https://www.parsleyhealth.com/
20,Hims,https://www.hims.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,,Get started,,manual web,,long,600,4096,24:28,24:23,image 21,13233,ok via web fallback,https://www.hims.com/,Homepage blocked standard fetch; CTA verified via browser-accessible page text.,unknown,,unknown,,unknown,,unknown,,unknown,,HTTPError: HTTP Error 403: Forbidden,https://www.hims.com/
21,Exact Medicare,https://www.exactmedicare.com/,Insurance / payer,Members / payers / providers,Health plan / payer product,Compassionate guidance for every step of your Medicare journey.,Contact Us,https://www.exactmedicare.com/contact-us,high,quantified outcomes/stats,medium,600,2503,24:37,24:30,image 22,13960,ok,https://www.exactmedicare.com/,,no,,yes,Google Analytics / gtag,yes,Webinars -> https://www.exactmedicare.com/ | Articles -> https://www.exactmedicare.com/blog | Blog -> https://www.exactmedicare.com/blog,no,,yes,Terms and Conditions -> https://www.exactmedicare.com/sms-terms-of-service | Privacy Policy -> https://www.exactmedicare.com/privacy-policy | Terms of Service -> https://www.exactmedicare.com/sms-terms-of-service | SMS Terms of Service -> https://www.exactmedicare.com/sms-terms-of-service,ok,https://www.exactmedicare.com/
22,Vibrix Pharmacy,https://www.vibrixpharmacy.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,"Mail-Order Pharmacy Solution in Lindon, Utah | Your Pharmacy, Reimagined.",Start Today,https://www.vibrixpharmacy.com/contact,medium,quantified outcomes/stats; customer proof,long,664,4096,24:46,24:44,image 23,14687,ok,https://www.vibrixpharmacy.com/,,yes,AI,yes,Google Analytics / gtag; Microsoft Clarity,yes,Blog -> https://www.vibrixpharmacy.com/articles-and-content-vibrix-pharmacy | /articles/utah-business-ceo-of-the-year-2026 -> https://www.vibrixpharmacy.com/articles/utah-business-ceo-of-the-year-2026,no,,yes,Privacy Policy. -> https://www.vibrixpharmacy.com/vibrix-privacy-policy | Privacy Policy -> https://www.vibrixpharmacy.com/vibrix-privacy-policy | Terms of Service -> https://www.vibrixpharmacy.com/vibrix-terms-and-conditions,ok,https://www.vibrixpharmacy.com/
23,Amazon Medical,https://www.onemedical.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,Comprehensive healthcare just got less painful,Get Started Opens in a new window.,https://app.onemedical.com/registration/signup?service_area_id=all,high,HIPAA; quantified outcomes/stats,medium,600,2557,36:8,36:6,image 24,15478,ok,https://www.onemedical.com/,,no,,yes,Google Tag Manager,yes,Learn more Clicking here takes you to the Security Event Notice page. -> https://www.onemedical.com/security-event-notice | Learn more Opens in a new window. -> https://www.onemedical.com/security-event-notice | Resource Center -> https://www.onemedical.com/resource-center/ | Blog -> https://www.onemedical.com/blog/ | https://www.onemedical.com/blog/healthy-living/every-minute-matters-case-longer- -> https://www.onemedical.com/blog/healthy-living/every-minute-matters-case-longer-appointments/,no,,yes,Learn more Clicking here takes you to the Security Event Notice page. -> https://www.onemedical.com/security-event-notice | Learn more Opens in a new window. -> https://www.onemedical.com/security-event-notice | One Medical Terms of Use -> https://www.onemedical.com/terms-of-use/ | Medical Terms of Service -> https://www.onemedical.com/medical-terms-service/ | Privacy Notice -> https://www.onemedical.com/amazon-privacy-page/,ok,https://www.onemedical.com/
24,Oscar,https://www.hioscar.com/,Insurance / payer,Members / payers / providers,Health plan / payer product,Health insurance made for real life,Shop Plans,,medium,SOC 2; quantified outcomes/stats,medium,600,2303,38:51,38:49,image 25,16205,ok,https://www.hioscar.com/,,yes,AI,yes,Google Analytics / gtag; Google Tag Manager; Optimizely; Cookiebot / OneTrust,yes,Blog -> https://www.hioscar.com/blog | Provider Center -> https://www.hioscar.com/providers/resources | Provider Manual -> https://provider.hioscar.com/resources,no,,yes,Terms of Service -> https://www.hioscar.com/legal/terms | Privacy Policy -> https://www.hioscar.com/legal/privacy | Legal and Compliance -> https://www.hioscar.com/legal/compliance | Accessibility -> https://www.hioscar.com/legal/accessibility,ok,https://www.hioscar.com/
25,Hers,https://www.forhers.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,,Get started,,manual web,,medium,600,3147,38:58,38:56,image 26,16932,ok via web fallback,https://www.forhers.com/,Homepage blocked standard fetch; CTA verified via browser-accessible page text.,unknown,,unknown,,unknown,,unknown,,unknown,,HTTPError: HTTP Error 403: Forbidden,https://www.forhers.com/
26,Healthmatch,https://healthmatch.io/,Research / trials / matching,Researchers / life sciences / patients,Research intelligence / patient matching,,,,not detected,,short,600,418,38:62,38:60,image 27,17659,ok,https://healthmatch.io/,No clear primary CTA detected in static homepage HTML; needs visual/manual review.,no,,no,,no,,no,,no,,ok,https://healthmatch.io/
27,Maven,https://www.mavenclinic.com/,Fertility / family health,Employers / members / patients,Family health benefit / care platform,Evidence-based women’s and family healthcare,Book a demo,https://www.mavenclinic.com/contact,high,quantified outcomes/stats; customer proof; case studies,medium,600,2809,38:66,38:64,image 28,18386,ok,https://www.mavenclinic.com/,,yes,AI,yes,Google Tag Manager; HubSpot,yes,Access now -> https://www.mavenclinic.com/annual-report | Case Studies -> https://www.mavenclinic.com/client-stories | Blog -> https://www.mavenclinic.com/blog | Resource center -> https://www.mavenclinic.com/resource-center | Webinars -> https://www.mavenclinic.com/content/on-demand-webinars#resources,yes,Access now -> https://www.mavenclinic.com/annual-report | https://www.mavenclinic.com/annual-report -> https://www.mavenclinic.com/annual-report | View resource -> https://www.mavenclinic.com/annual-report,yes,Privacy -> https://www.mavenclinic.com/app/privacy | Security -> https://www.mavenclinic.com/security | Cookie Policy -> https://www.mavenclinic.com/lp/cookie-policy | Notice of Privacy Practices -> https://www.mavenclinic.com/lp/notice-of-privacy-practices | Consumer Health Data Privacy Notice -> https://www.mavenclinic.com/lp/consumer-health-data-privacy-notice,ok,https://www.mavenclinic.com/
28,Darwin Research Group,http://www.darwinresearchgroup.com/,Research / trials / matching,Researchers / life sciences / patients,Research intelligence / patient matching,Our Objective Insights. Your Strategic Advantage.,Contact Us,https://www.darwinresearch.com/contact-us,high,quantified outcomes/stats,long,600,3251,38:73,38:71,image 29,19113,ok,https://www.darwinresearch.com/,,yes,AI,yes,Google Analytics / gtag,yes,Insights -> https://www.darwinresearch.com/ | Insights -> https://www.darwinresearch.com/news-and-insights | Darwin's Our Take 6.29.26: Eli Lilly withholds 340B pricing from certain hospita -> https://www.darwinresearch.com/news-and-insights/darwins-our-take-6-29-26-eli-lilly-withholds-340b-pricing-from-certain- | Darwin's Our Take 6.22.26: Study finds general-purpose LLMs perform better than  -> https://www.darwinresearch.com/news-and-insights/darwins-our-take-6-22-26-study-finds-general-purpose-llms-perform-bette | Darwin's Our Take 6.15.26: GSK grows lung cancer portfolio with $10.6 billion Nu -> https://www.darwinresearch.com/news-and-insights/darwins-our-take-6-15-26-gsk-grows-lung-cancer-portfolio-with-10-6-bill,no,,no,,ok,https://www.darwinresearch.com/
29,Commure,https://www.commure.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,The AI-Native Enterprise RCM & Ambient Platform,contact,https://www.commure.com/contact,high,quantified outcomes/stats; customer proof,very long,600,5354,38:77,38:75,image 30,19840,ok,https://www.commure.com/,,yes,AI,yes,Google Analytics / gtag; Meta / Facebook Pixel; LinkedIn Insight; HubSpot,yes,All -> https://www.commure.com/resources | Blog -> https://www.commure.com/resources/clinicians?type=Blog | Customer Stories -> https://www.commure.com/resources/clinicians?type=Customer+Story | Webinars -> https://www.commure.com/resources/clinicians?type=Webinar | Reports -> https://www.commure.com/resources/clinicians?type=whitepapers,yes,"Webinars -> https://www.commure.com/resources/clinicians?type=Webinar | Webinar -> https://www.commure.com/resources/executives?type=Webinar | Webinars -> https://www.commure.com/resources/finance?type=Webinar | WebinarsOn-demand AI healthcare discussions -> https://www.commure.com/resources?type=Webinar | BlogA digital front door in healthcare connects scheduling, intake, communicatio -> https://www.commure.com/blog/what-is-a-digital-front-door-in-healthcare-a-guide-for-health-system-leaders",yes,"Trust Center -> https://www.commure.com/trust-center | Trust CenterSecurity, privacy, and compliance across our platform -> https://www.commure.com/trust-center | Privacy -> https://www.commure.com/legal/privacy-policy | Terms of Use -> https://www.commure.com/legal/general-terms-of-use | Cookie Notice -> https://www.commure.com/legal/cookie-notice",ok,https://www.commure.com/
30,Anterior,https://www.anterior.com/,AI / clinical automation,Providers / health systems,AI product / workflow automation,Clinical AI that’s ready to deploy,Book Demo,https://www.anterior.com/demo,high,quantified outcomes/stats; case studies,medium,600,2515,38:81,38:79,image 31,20567,ok,https://www.anterior.com/,,yes,AI,yes,Google Analytics / gtag,yes,Anterior brings total funding to $64M to accelerate health plan AI adoption → -> https://www.anterior.com/insights/anterior-raises-40m-series | Insights -> https://www.anterior.com/insights,no,,yes,Privacy -> https://www.anterior.com/privacy-policy,ok,https://www.anterior.com/
31,Yuvo Health,https://www.yuvohealth.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,Gain the advantage in value-based care | Our team is here to support you,Schedule time,https://www.yuvohealth.com/#book-meeting,high,quantified outcomes/stats,long,600,3679,38:85,38:83,image 32,21294,ok,https://www.yuvohealth.com/,,no,,yes,Google Tag Manager; HubSpot,yes,Blog -> https://www.yuvohealth.com/blog | Resource directory -> https://www.yuvohealth.com/resource-directory | Annual report -> https://www.yuvohealth.com/post/yuvo-annual-report-2025 | Read more -> https://www.yuvohealth.com/press-releases/medcity-news-yuvo-health-launches-initiative-to-make-value-based-care-easier-f | Read more -> https://www.dotmed.com/news/story/62384?p_begin=&s=newslog,yes,Annual report -> https://www.yuvohealth.com/post/yuvo-annual-report-2025,yes,the privacy policy and terms and conditions -> https://www.yuvohealth.com/privacy-terms | Privacy policy & terms and conditions -> https://www.yuvohealth.com/privacy-terms | Compliance policies -> https://www.yuvohealth.com/compliance-policies,ok,https://www.yuvohealth.com/
