index,company,url,market_category,primary_audience,offer_type,hero_h1_live,main_cta_live,main_cta_href,cta_confidence,proof_signals_detected,page_length_category,screenshot_width,screenshot_height,label_node_id,screenshot_node_id,screenshot_node_name,x_position,live_fetch_status,final_url_checked,analysis_notes
11,Amazon One Medical,https://www.onemedical.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,Comprehensive healthcare just got less painful,Get Started Opens in a new window.,https://app.onemedical.com/registration/signup?service_area_id=all,high,HIPAA; quantified outcomes/stats,medium,600,2557,13:96,13:91,image 12,6804,ok,https://www.onemedical.com/,
12,Curative,https://curative.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,Curative health plan,Find Care,https://curative.com/get-care,medium,HIPAA; quantified outcomes/stats,long,600,3317,15:107,15:102,image 13,7525,ok,https://curative.com/,
13,UnMind,https://unmind.com/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,The complete workplace | mental health ecosystem,Talk to a human,https://unmind.com/book-a-call,high,quantified outcomes/stats; customer proof; case studies,medium,600,2438,15:116,15:109,image 14,8252,ok,https://unmind.com/?locale=en_us,
14,Kin Fertility,https://kinfertility.com.au/,Fertility / family health,Employers / members / patients,Family health benefit / care platform,,Contact us,https://kinfertility.com.au/contact,high,quantified outcomes/stats,medium,600,2361,15:125,15:118,image 15,8973,ok,https://kinfertility.com.au/,
15,Juniper,https://www.myjuniper.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,,Discover your options,,manual web,,long,600,3787,15:134,15:132,image 16,9700,ok via web fallback,https://www.myjuniper.com/,Homepage blocked standard fetch; CTA verified via browser-accessible page text.
16,SIOM,https://statenislandoralsurgery.us/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,Staten Island Oral & Maxillofacial Surgery,Contact Us,https://statenislandoralsurgery.us/callback-request/,high,quantified outcomes/stats,long,498,4096,15:141,15:136,image 17,10427,ok,https://statenislandoralsurgery.us/,
17,BEN,https://www.thanksben.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,The AI-native benefits platform for global enterprise | Running benefits shouldn't be this hard.,Book a demo,https://www.thanksben.com/book-a-demo,high,quantified outcomes/stats; customer proof,medium,600,2595,15:148,15:143,image 18,11052,ok,https://www.thanksben.com/,
18,Mayo Clinic,https://www.mayoclinic.org/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,,Request appointment,,manual web,,medium,600,2126,21:8,21:6,image 19,11779,ok via web fallback,https://www.mayoclinic.org/,Homepage blocked standard fetch; CTA verified via browser-accessible page text.
19,Parsley Health,https://www.parsleyhealth.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,Functional medicine that helps you feel like your best self,Get started,https://www.parsleyhealth.com/join/care,high,quantified outcomes/stats,very long,600,5498,24:18,24:13,image 20,12506,ok,https://www.parsleyhealth.com/,
20,Hims,https://www.hims.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,,Get started,,manual web,,long,600,4096,24:28,24:23,image 21,13233,ok via web fallback,https://www.hims.com/,Homepage blocked standard fetch; CTA verified via browser-accessible page text.
21,Exact Medicare,https://www.exactmedicare.com/,Insurance / payer,Members / payers / providers,Health plan / payer product,Compassionate guidance for every step of your Medicare journey.,Contact Us,https://www.exactmedicare.com/contact-us,high,quantified outcomes/stats,medium,600,2503,24:37,24:30,image 22,13960,ok,https://www.exactmedicare.com/,
22,Vibrix Pharmacy,https://www.vibrixpharmacy.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,"Mail-Order Pharmacy Solution in Lindon, Utah | Your Pharmacy, Reimagined.",Start Today,https://www.vibrixpharmacy.com/contact,medium,quantified outcomes/stats; customer proof,long,664,4096,24:46,24:44,image 23,14687,ok,https://www.vibrixpharmacy.com/,
23,Amazon Medical,https://www.onemedical.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,Comprehensive healthcare just got less painful,Get Started Opens in a new window.,https://app.onemedical.com/registration/signup?service_area_id=all,high,HIPAA; quantified outcomes/stats,medium,600,2557,36:8,36:6,image 24,15478,ok,https://www.onemedical.com/,
24,Oscar,https://www.hioscar.com/,Insurance / payer,Members / payers / providers,Health plan / payer product,Health insurance made for real life,Shop Plans,,medium,SOC 2; quantified outcomes/stats,medium,600,2303,38:51,38:49,image 25,16205,ok,https://www.hioscar.com/,
25,Hers,https://www.forhers.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,,Get started,,manual web,,medium,600,3147,38:58,38:56,image 26,16932,ok via web fallback,https://www.forhers.com/,Homepage blocked standard fetch; CTA verified via browser-accessible page text.
26,Healthmatch,https://healthmatch.io/,Research / trials / matching,Researchers / life sciences / patients,Research intelligence / patient matching,,,,not detected,,short,600,418,38:62,38:60,image 27,17659,ok,https://healthmatch.io/,No clear primary CTA detected in static homepage HTML; needs visual/manual review.
27,Maven,https://www.mavenclinic.com/,Fertility / family health,Employers / members / patients,Family health benefit / care platform,Evidence-based women’s and family healthcare,Book a demo,https://www.mavenclinic.com/contact,high,quantified outcomes/stats; customer proof; case studies,medium,600,2809,38:66,38:64,image 28,18386,ok,https://www.mavenclinic.com/,
28,Darwin Research Group,http://www.darwinresearchgroup.com/,Research / trials / matching,Researchers / life sciences / patients,Research intelligence / patient matching,Our Objective Insights. Your Strategic Advantage.,Contact Us,https://www.darwinresearch.com/contact-us,high,quantified outcomes/stats,long,600,3251,38:73,38:71,image 29,19113,ok,https://www.darwinresearch.com/,
29,Commure,https://www.commure.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,The AI-Native Enterprise RCM & Ambient Platform,contact,https://www.commure.com/contact,high,quantified outcomes/stats; customer proof,very long,600,5354,38:77,38:75,image 30,19840,ok,https://www.commure.com/,
30,Anterior,https://www.anterior.com/,AI / clinical automation,Providers / health systems,AI product / workflow automation,Clinical AI that’s ready to deploy,Book Demo,https://www.anterior.com/demo,high,quantified outcomes/stats; case studies,medium,600,2515,38:81,38:79,image 31,20567,ok,https://www.anterior.com/,
31,Yuvo Health,https://www.yuvohealth.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,Gain the advantage in value-based care | Our team is here to support you,Schedule time,https://www.yuvohealth.com/#book-meeting,high,quantified outcomes/stats,long,600,3679,38:85,38:83,image 32,21294,ok,https://www.yuvohealth.com/,
32,Farmbox RX,https://www.farmboxrx.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,Food as | Food as,Contact Us,https://www.farmboxrx.com/contact-us/,high,quantified outcomes/stats; case studies,medium,600,2308,38:89,38:87,image 33,22021,ok,https://www.farmboxrx.com/,
33,Lyra Health,https://www.lyrahealth.com/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,Mental health care for all of life’s moments,Request a Quote,https://www.lyrahealth.com/request-a-quote/,high,HIPAA; quantified outcomes/stats; customer proof,medium,600,2460,38:93,38:91,image 34,22748,ok,https://www.lyrahealth.com/,
34,Candor Health,https://candorhealth.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,Provider Data You Can Trust,Contact Us,https://candorhealth.com/contact?type=contact us,high,quantified outcomes/stats; customer proof; case studies,medium,600,1698,38:97,38:95,image 35,23475,ok,https://candorhealth.com/,
35,Augmedix,https://www.augmedix.com/,AI / clinical automation,Providers / health systems,AI product / workflow automation,"When all is said, it’s done.",Contact Us,https://www.augmedix.com/contact-us,high,HIPAA; quantified outcomes/stats; customer proof,medium,600,2526,44:5,44:3,image 36,24352,ok,https://www.augmedix.com/,
36,Subscribili,https://www.subscribili.com/,Revenue cycle / admin workflow,Providers / healthcare operators,Healthcare operations platform,The platform powering the future of your patient journey starts here | Built to streamline patient flow and unlock growth across every location,Contact Us,https://subscribili.com/contact-us,high,HIPAA; SOC 2; quantified outcomes/stats; customer proof,long,597,4096,84:2,84:8,image 37,25079,ok,https://subscribili.com/,
37,Abridge,https://www.abridge.com/,AI / clinical automation,Providers / health systems,AI product / workflow automation,For every moment of care,Contact Us,https://www.abridge.com/contact,high,quantified outcomes/stats; customer proof; case studies,long,705,4096,139:4,139:8,image 38,25847,ok,https://www.abridge.com/,
38,Suki,https://www.suki.ai/,AI / clinical automation,Providers / health systems,AI product / workflow automation,The intelligence layer you need to practice medicine the way you want.,Contact Us,https://www.suki.ai/contact-us/,high,HIPAA; SOC 2; quantified outcomes/stats; customer proof,long,643,4096,139:14,139:27,image 40,26668,ok,https://www.suki.ai/,
39,Ambience Healthcare,https://www.ambiencehealthcare.com/,AI / clinical automation,Providers / health systems,AI product / workflow automation,The AI Platform Clinicians Choose for Documentation and Coding | The AI Platform Clinicians Choose for Documentation and Coding,Book a Demo,https://www.ambiencehealthcare.com/demo,high,quantified outcomes/stats,long,749,4096,139:20,139:37,image 41,27544,ok,https://www.ambiencehealthcare.com/,
40,Nabla,https://nabla.com/,AI / clinical automation,Providers / health systems,AI product / workflow automation,Smarter clinical workflows. Elevated care. | Enjoy care again,Contact,https://nabla.com/copilot-contact,high,HIPAA; SOC 2; quantified outcomes/stats; customer proof; case studies,long,775,4096,139:57,139:62,image 42,28453,ok,https://nabla.com/,
41,Corti,https://www.corti.ai/,AI / clinical automation,Providers / health systems,AI product / workflow automation,The AI platform for healthcare & life-science developers,ContactSpeak with an expert,https://www.corti.ai/contact-us,high,HIPAA; SOC 2; quantified outcomes/stats,long,744,4096,140:68,140:73,image 43,29359,ok,https://www.corti.ai/,
42,Hippocratic AI,https://hippocraticai.com/,AI / clinical automation,Providers / health systems,AI product / workflow automation,Safest Healthcare Generative AI Agents,Contact Us,https://hippocraticai.com/contact-us/,high,quantified outcomes/stats; customer proof,long,638,4096,140:75,140:80,image 44,30197,ok,https://hippocraticai.com/,
43,Heidi Health,https://www.heidihealth.com/,AI / clinical automation,Providers / health systems,AI product / workflow automation,,Get Heidi free,,manual web,,long,1018,4096,140:82,140:87,image 45,31172,ok via web fallback,https://www.heidihealth.com/,Standard fetch hit redirect handling; CTA verified via browser-accessible page text.
44,Cohere Health,https://www.coherehealth.com/,AI / clinical automation,Providers / health systems,AI product / workflow automation,**Clinical intelligence** that powers health plan operations,Get Started,https://coherehealth.com/connect,high,quantified outcomes/stats; customer proof,long,850,4096,140:89,140:94,image 46,32253,ok,https://www.coherehealth.com/,
45,Cedar,https://www.cedar.com/,Revenue cycle / admin workflow,Providers / healthcare operators,Healthcare operations platform,Built for patients. Powered by intelligence. Proven in performance.,Book a Demo,,high,quantified outcomes/stats; case studies,long,506,4096,140:96,140:101,image 47,33110,ok,https://www.cedar.com/,
46,Tennr,https://www.tennr.com/,AI / clinical automation,Providers / health systems,AI product / workflow automation,Move patients forward,Book a Demo,https://www.tennr.com/book-a-demo,high,HIPAA; quantified outcomes/stats; customer proof; case studies,long,764,4096,140:103,140:108,image 48,33898,ok,https://www.tennr.com/,
47,Waystar,https://www.waystar.com/,Revenue cycle / admin workflow,Providers / healthcare operators,Healthcare operations platform,AI-powered software,Speak to an expert,,manual web,HIPAA; SOC 2; quantified outcomes/stats; customer proof,long,670,4096,140:110,141:118,image 49,34756,ok,https://www.waystar.com/,Automated extraction picked a nav item; corrected to hero CTA from live page.
48,Akasa,https://akasa.com/,AI / clinical automation,Providers / health systems,AI product / workflow automation,"Transforming your revenue cycle with generative AI | A revenue cycle that's faster, smarter, and better",Contact Us,https://akasa.com/contact-us,high,quantified outcomes/stats,long,1018,4096,141:120,141:125,image 50,35741,ok,https://akasa.com/,
49,Canvas Medical,https://www.canvasmedical.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,Expect more from your EMR,Contact Sales,,high,quantified outcomes/stats; case studies,medium,863,1914,141:127,142:132,image 51,36795,ok,https://www.canvasmedical.com/,
50,Elation Health,https://www.elationhealth.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,Primary care is hard enough.Your EHR shouldn't be.,Schedule a Demo,https://www.elationhealth.com/solutions/elation-billing/,manual web,quantified outcomes/stats; customer proof; case studies,medium,831,2762,142:134,143:142,image 52,37755,ok,https://www.elationhealth.com/,Automated extraction picked a product-card link; corrected to hero/nav CTA from live page.
51,Redox,https://redoxengine.com/,Data / interoperability / life sciences,Healthcare enterprises / life sciences,Data platform / infrastructure,"Your healthcare data integration problems, solved.",Get pricing,https://redoxengine.com/explore/,manual web,HIPAA; SOC 2; quantified outcomes/stats; customer proof; case studies,long,703,4096,143:144,143:152,image 53,38658,ok,https://redoxengine.com/,Automated extraction picked a generic Explore link; corrected to nav CTA from live page.
52,Health Gorilla,https://redoxengine.com/,Data / interoperability / life sciences,Healthcare enterprises / life sciences,Data platform / infrastructure,"Your healthcare data integration problems, solved.",Explore,https://redoxengine.com/explore/,low,HIPAA; SOC 2; quantified outcomes/stats; customer proof; case studies,medium,938,2990,143:154,152:6,image 54,39616,ok,https://redoxengine.com/,Figma source URL points to redoxengine.com; verify whether this should be healthgorilla.com before downstream analysis.
53,Datavant,https://www.datavant.com/,Data / interoperability / life sciences,Healthcare enterprises / life sciences,Data platform / infrastructure,"Making the world’s health data secure, accessible and actionable. | Products and Solutions",Contact Us,https://www.datavant.com/contact,high,HIPAA; quantified outcomes/stats; customer proof,long,668,4096,152:8,152:29,image 55,40564,ok,https://www.datavant.com/,
54,Particle Health,https://particlehealth.com,Data / interoperability / life sciences,Healthcare enterprises / life sciences,Data platform / infrastructure,Innovate better with product-ready insights | Transform medical records into actionable clinical insights.,contact us,https://particlehealth.com/contact-us,high,HIPAA; SOC 2; quantified outcomes/stats; customer proof,medium,884,3142,152:12,153:35,image 56,41475,ok,https://particlehealth.com,
55,Innovaccer,https://innovaccer.com/,Data / interoperability / life sciences,Healthcare enterprises / life sciences,Data platform / infrastructure,Enabling | Autonomous Operations,request a demo,https://innovaccer.com/request-a-demo,high,quantified outcomes/stats; customer proof; case studies,long,677,4096,152:16,153:38,image 57,42387,ok,https://innovaccer.com/,
56,Arcadia,https://arcadia.io/,Data / interoperability / life sciences,Healthcare enterprises / life sciences,Data platform / infrastructure,HEALTHCARE DATA PLATFORM | Curated insights.,Request a demo,https://arcadia.io/request-a-demo,high,SOC 2; quantified outcomes/stats; customer proof; case studies,long,886,4096,152:20,153:41,image 58,43307,ok,https://arcadia.io/,
57,Aledade,https://aledade.com,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,Physician-ledvalue-based care,Contact us,https://aledade.com/more-information?hsLang=en,high,quantified outcomes/stats; case studies,medium,817,2937,152:24,153:44,image 59,44314,ok,https://aledade.com,
58,Pearl Health,https://www.pearlhealth.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,VALUE-BASED CARE INTELLIGENCE | Unlock the full value of value-based care.,Contact Us,https://meetings.hubspot.com/join-pearl,high,HIPAA; quantified outcomes/stats; customer proof,long,909,4286,153:46,153:71,image 60,45322,ok,https://www.pearlhealth.com/,
59,Memora Health,https://www.commure.com/engage,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,Guide patients through every step of care with AI-powered patient engagement,contact,https://www.commure.com/contact,high,quantified outcomes/stats; customer proof; case studies,long,736,4096,153:50,153:74,image 61,46289,ok,https://www.commure.com/engage,
60,Privia Health,https://www.priviahealth.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,"We Do Well, Together. | We Do Well, Together.",Contact Us,https://www.priviahealth.com/contact-us/,high,quantified outcomes/stats,medium,988,3044,153:54,153:77,image 62,47296,ok,https://www.priviahealth.com/,
61,Agilon Health,https://www.agilonhealth.com/,Provider enablement / value-based care,Providers / health systems / payers,Provider enablement / value-based care platform,Health Care Reimagined. | Focus on Patient Care.,Contact Us,https://www.agilonhealth.com/contact-us,high,quantified outcomes/stats,long,1139,3476,153:58,153:80,image 63,48549,ok,https://www.agilonhealth.com/,
62,Modern Health,https://www.modernhealth.com/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,The Global Standard in Mental Health,Let’s Talk,https://www.modernhealth.com/request-demo,high,HIPAA; quantified outcomes/stats; customer proof; case studies,long,748,4096,153:62,154:83,image 64,49637,ok,https://www.modernhealth.com/,
63,Headway,https://headway.co/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,,Find care,,manual web,,long,992,3669,153:66,154:102,image 65,50699,ok via web fallback,https://headway.co/,Homepage blocked standard fetch; CTA verified via browser-accessible page text.
64,Grow Therapy,https://growtherapy.com/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,"Mental health made easy, covered by insurance",Contact us,https://growtherapy.jotform.com/grow-support/contact-us,high,quantified outcomes/stats,long,754,4096,154:85,154:105,image 66,51764,ok,https://growtherapy.com/,
65,Alma,https://helloalma.com/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,Find the right therapist who accepts your insurance,Join Alma,https://helloalma.com/for-providers#form,medium,HIPAA; quantified outcomes/stats,long,732,3411,154:89,154:108,image 67,52699,ok,https://helloalma.com/,
66,SonderMind,https://www.sondermind.com/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,Find quality therapy & psychiatrycovered by insurance,Contact Us,https://www.sondermind.com/contact-us/,high,quantified outcomes/stats,long,608,4008,154:93,154:111,image 68,53561,ok,https://www.sondermind.com/,
67,NeuroFlow,https://www.neuroflow.com/,Mental health / behavioral health,Employers / members / providers,Care benefit / provider network,Holistic Data Analysis Surfaces Hidden Behavioral Health Risk in Your Population | Behavioral Health Expertise Unlocks New Opportunities for Program Design Improvements,Contact,https://www.neuroflow.com/contact-us/,high,quantified outcomes/stats; customer proof,long,929,3293,154:97,154:154,image 69,54572,ok,https://www.neuroflow.com/,
68,Carrot Fertility,https://www.get-carrot.com/,Fertility / family health,Employers / members / patients,Family health benefit / care platform,Unlock support for life’s major moments | Unlock support for life’s major moments,Contact us,https://www.get-carrot.com/contact-us,high,quantified outcomes/stats; customer proof; case studies,long,822,4096,154:113,154:157,image 70,55730,ok,https://www.get-carrot.com/,
69,Progyny,https://progyny.com/,Fertility / family health,Employers / members / patients,Family health benefit / care platform,Your partner in health | Progyny helps organizations just like yours,Contact us,https://progyny.com/contact-us/,high,quantified outcomes/stats,long,822,4267,154:117,155:160,image 71,56796,ok,https://progyny.com/,
70,Ovia Health,https://www.oviahealth.com/,Fertility / family health,Employers / members / patients,Family health benefit / care platform,Supporting women’s health at every age and stage of life,Request a Demo,https://www.oviahealth.com/#demo-request,high,quantified outcomes/stats,long,822,4322,154:121,155:163,image 72,57836,ok,https://www.oviahealth.com/,
71,Kindbody,https://kindbody.com/,Fertility / family health,Employers / members / patients,Family health benefit / care platform,Leading the Future of Fertility Care,Schedule,https://kindbody.com/scheduling/location-select/all/,high,HIPAA; quantified outcomes/stats,medium,824,2830,154:125,155:166,image 73,58861,ok,https://kindbody.com/,
72,Transcarent,https://transcarent.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,Transcarent is the One Place for Health and CareTM,BOOK A DEMO,https://transcarent.com/request-a-demo,high,quantified outcomes/stats; customer proof,long,822,3739,154:129,155:172,image 74,59935,ok,https://transcarent.com/,
73,Included Health,https://includedhealth.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,Included Health® - Healthcare Navigation & Virtual Care,Contact Us Looking for support? Get in touch—we're here to help.,https://includedhealth.com/contact-us/,high,quantified outcomes/stats; case studies,long,822,3594,154:133,155:175,image 75,60975,ok,https://includedhealth.com/,
74,Quantum Health,https://quantum-health.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,Guide your people to better care,Talk to sales,https://quantum-health.com/talk-to-sales,high,quantified outcomes/stats; case studies,long,828,3462,154:137,155:178,image 76,62018,ok,https://quantum-health.com/,
75,Collective Health,https://collectivehealth.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,Stop managing health benefits in the dark.,Contact Us,https://collectivehealth.com/contact-us/,high,quantified outcomes/stats,very long,828,6497,154:141,155:181,image 77,63064,ok,https://collectivehealth.com/,
76,Rightway,https://www.rightwayhealthcare.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,Stop choosing between employee health and your bottom line.,Request a demo,https://www.rightwayhealthcare.com/demo,high,quantified outcomes/stats,long,828,4416,154:145,155:184,image 78,64086,ok,https://www.rightwayhealthcare.com/,
77,Nava Benefits,https://www.navabenefits.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,The modern employee benefits broker. | FIX HEALTHCARELIVE 2026,Talk to an expert,https://www.navabenefits.com/get-started,high,HIPAA; SOC 2; quantified outcomes/stats; customer proof,long,829,4508,154:149,155:187,image 79,65109,ok,https://www.navabenefits.com/,
78,Devoted Health,https://devoted.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,,Contact us,https://devoted.com/contact-us,high,quantified outcomes/stats,long,817,4096,155:189,155:239,image 80,66126,ok,https://devoted.com/,
79,Clover Health,https://www.cloverhealth.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,Get the Medicare Coverage You’ve Been Missing,Contact Us,https://www.cloverhealth.com/members/contact-us,high,quantified outcomes/stats,medium,813,2693,155:193,155:245,image 81,67135,ok,https://www.cloverhealth.com/,
80,Turquoise Health,https://turquoise.health/,Insurance / payer,Members / payers / providers,Health plan / payer product,Tomorrow’s way to get healthcare paid,Request a demo,https://turquoise.health/platform/analyze,manual web,quantified outcomes/stats; customer proof; case studies,long,813,4347,155:197,155:248,image 82,68142,ok,https://turquoise.health/,Automated extraction picked a product link; corrected to hero CTA from live page.
81,Sidecar Health,https://www.sidecarhealth.com/,Navigation / benefits / employer health,Employers / health plans / members,Benefits navigation / care advocacy,What if you could get employees to treat healthcare dollars like their own?,Let’s talk,https://www.sidecarhealth.com/,high,quantified outcomes/stats,short,832,1444,155:205,156:251,image 83,69158,ok,https://www.sidecarhealth.com/,
82,Fuze Health,https://rx.fuzehealth.com/,Primary care / consumer care,Patients / consumers,Care delivery / consumer health service,The Future of Pharmacy | Industry-Leading Innovation,Contact Us,https://rx.fuzehealth.com/contact,high,quantified outcomes/stats,long,832,4587,155:210,156:254,image 84,70186,ok,https://rx.fuzehealth.com/,
83,DoseSpot,https://dosespot.com/,Revenue cycle / admin workflow,Providers / healthcare operators,Healthcare operations platform,"Patient Connected ePrescribing Software for Smarter, Safer Prescriptions",Contact Support,https://dosespot.com/contact-support/,high,quantified outcomes/stats; customer proof,long,833,3207,155:214,156:257,image 85,71211,ok,https://dosespot.com/,
84,Tempus,https://www.tempus.com/,Data / interoperability / life sciences,Healthcare enterprises / life sciences,Data platform / infrastructure,,CONTACT US,,manual web,,short,1155,522,155:218,156:260,image 86,72371,ok via web fallback,https://www.tempus.com/,Standard fetch hit rate limit; CTA verified via browser-accessible page text.
85,Viz.ai,https://www.viz.ai/,AI / clinical automation,Providers / health systems,AI product / workflow automation,This is the face of better outcomes.,Contact Us,https://www.viz.ai/contact-us,high,quantified outcomes/stats; customer proof; case studies,long,836,3240,155:222,156:263,image 87,73560,ok,https://www.viz.ai/,
86,Aidoc,https://www.aidoc.com/,AI / clinical automation,Providers / health systems,AI product / workflow automation,See what matters. Less noise. More focus.,Contact,https://www.aidoc.com/about/contact/,high,quantified outcomes/stats; customer proof; case studies,medium,834,2084,155:226,156:266,image 88,74589,ok,https://www.aidoc.com/,
87,Color Health,https://color.com/,Data / interoperability / life sciences,Healthcare enterprises / life sciences,Data platform / infrastructure,Care for cancer. Reinvented. | A new model for cancer care,Contact Us,https://color.com/contact-us,high,quantified outcomes/stats,very long,834,5501,155:230,156:325,image 89,75617,ok,https://color.com/,
88,Cleerly,https://cleerlyhealth.com/,AI / clinical automation,Providers / health systems,AI product / workflow automation,See Cleerly.Act early.,Contact,https://cleerlyhealth.com/contact,high,quantified outcomes/stats,medium,832,2170,155:234,157:328,image 90,76644,ok,https://cleerlyhealth.com/,
89,Komodo Health,https://www.komodohealth.com/,Data / interoperability / life sciences,Healthcare enterprises / life sciences,Data platform / infrastructure,Ask Any Question About Healthcare and Get an Answer You Can Use,Get a Demo,https://www.komodohealth.com/get-demo/,high,quantified outcomes/stats,long,828,3212,156:284,157:331,image 91,77668,ok,https://www.komodohealth.com/,
